book_name,average_rating,review_sentiment,cleaned_summary,book_summary_cleaned,summary_summary
Harry Potter and the Half-Blood Prince,4.58,9.368921507001945,"It is the middle of the summer, but there is an unseasonal mist pressing against the windowpanes. Harry Potter is waiting nervously in his bedroom at the Dursleys' house in Privet Drive for a visit from Professor Dumbledore himself. One of the last times he saw the Headmaster, he was in a fierce one-to-one duel with Lord Voldemort, and Harry can't quite believe that Professor Dumbledore will actually appear at the Dursleys' of all places. Why is the Professor coming to visit him now? What is it that cannot wait until Harry returns to Hogwarts in a few weeks' time? Harry's sixth year at Hogwarts has already got off to an unusual start, as the worlds of Muggle and magic start to intertwine...","['It', 'is', 'the', 'middle', 'of', 'the', 'summer', ',', 'but', 'there', 'is', 'an', 'unseasonal', 'mist', 'pressing', 'against', 'the', 'windowpanes', '.', 'Harry', 'Potter', 'is', 'waiting', 'nervously', 'in', 'his', 'bedroom', 'at', 'the', 'Dursleys', ""'"", 'house', 'in', 'Privet', 'Drive', 'for', 'a', 'visit', 'from', 'Professor', 'Dumbledore', 'himself', '.', 'One', 'of', 'the', 'last', 'times', 'he', 'saw', 'the', 'Headmaster', ',', 'he', 'was', 'in', 'a', 'fierce', 'one-to-one', 'duel', 'with', 'Lord', 'Voldemort', ',', 'and', 'Harry', 'ca', ""n't"", 'quite', 'believe', 'that', 'Professor', 'Dumbledore', 'will', 'actually', 'appear', 'at', 'the', 'Dursleys', ""'"", 'of', 'all', 'places', '.', 'Why', 'is', 'the', 'Professor', 'coming', 'to', 'visit', 'him', 'now', '?', 'What', 'is', 'it', 'that', 'can', 'not', 'wait', 'until', 'Harry', 'returns', 'to', 'Hogwarts', 'in', 'a', 'few', 'weeks', ""'"", 'time', '?', 'Harry', ""'s"", 'sixth', 'year', 'at', 'Hogwarts', 'has', 'already', 'got', 'off', 'to', 'an', 'unusual', 'start', ',', 'as', 'the', 'worlds', 'of', 'Muggle', 'and', 'magic', 'start', 'to', 'intertwine', '...']","Harry Potter is waiting nervously in his bedroom at the Dursleys' house in Privet Drive for a visit from Professor Dumbledore himself. One of the last times he saw the Headmaster, he was in a fierce one-to-one duel with Lord Voldemort. Harry's sixth year at Hogwarts has already got off to an unusual start."
Harry Potter and the Order of the Phoenix,4.52,4.655753230598565,"Harry Potter is about to start his fifth year at Hogwarts School of Witchcraft and Wizardry. Unlike most schoolboys, Harry never enjoys his summer holidays, but this summer is even worse than usual. The Dursleys, of course, are making his life a misery, but even his best friends, Ron and Hermione, seem to be neglecting him.Harry has had enough. He is beginning to think he must do something, anything, to change his situation, when the summer holidays come to an end in a very dramatic fashion. What Harry is about to discover in his new year at Hogwarts will turn his world upside down...","['Harry', 'Potter', 'is', 'about', 'to', 'start', 'his', 'fifth', 'year', 'at', 'Hogwarts', 'School', 'of', 'Witchcraft', 'and', 'Wizardry', '.', 'Unlike', 'most', 'schoolboys', ',', 'Harry', 'never', 'enjoys', 'his', 'summer', 'holidays', ',', 'but', 'this', 'summer', 'is', 'even', 'worse', 'than', 'usual', '.', 'The', 'Dursleys', ',', 'of', 'course', ',', 'are', 'making', 'his', 'life', 'a', 'misery', ',', 'but', 'even', 'his', 'best', 'friends', ',', 'Ron', 'and', 'Hermione', ',', 'seem', 'to', 'be', 'neglecting', 'him.Harry', 'has', 'had', 'enough', '.', 'He', 'is', 'beginning', 'to', 'think', 'he', 'must', 'do', 'something', ',', 'anything', ',', 'to', 'change', 'his', 'situation', ',', 'when', 'the', 'summer', 'holidays', 'come', 'to', 'an', 'end', 'in', 'a', 'very', 'dramatic', 'fashion', '.', 'What', 'Harry', 'is', 'about', 'to', 'discover', 'in', 'his', 'new', 'year', 'at', 'Hogwarts', 'will', 'turn', 'his', 'world', 'upside', 'down', '...']","Harry Potter is about to start his fifth year at Hogwarts School of Witchcraft and Wizardry. The Dursleys, of course, are making his life a misery, but even his best friends, Ron and Hermione, seem to be neglecting him. He is beginning to think he must do something, anything, to change his situation."
Harry Potter and the Sorcerer's Stone,4.4,10.223075688381234,"Harry Potter has no idea how famous he is. That's because he's being raised by his miserable aunt and uncle who are terrified Harry will learn that he's really a wizard, just as his parents were. But everything changes when Harry is summoned to attend an infamous school for wizards, and he begins to discover some clues about his illustrious birthright. From the surprising way he is greeted by a lovable giant, to the unique curriculum and colorful faculty at his unusual school, Harry finds himself drawn deep inside a mystical world he never knew existed and closer to his own noble destiny.","['Harry', 'Potter', 'has', 'no', 'idea', 'how', 'famous', 'he', 'is', '.', 'That', ""'s"", 'because', 'he', ""'s"", 'being', 'raised', 'by', 'his', 'miserable', 'aunt', 'and', 'uncle', 'who', 'are', 'terrified', 'Harry', 'will', 'learn', 'that', 'he', ""'s"", 'really', 'a', 'wizard', ',', 'just', 'as', 'his', 'parents', 'were', '.', 'But', 'everything', 'changes', 'when', 'Harry', 'is', 'summoned', 'to', 'attend', 'an', 'infamous', 'school', 'for', 'wizards', ',', 'and', 'he', 'begins', 'to', 'discover', 'some', 'clues', 'about', 'his', 'illustrious', 'birthright', '.', 'From', 'the', 'surprising', 'way', 'he', 'is', 'greeted', 'by', 'a', 'lovable', 'giant', ',', 'to', 'the', 'unique', 'curriculum', 'and', 'colorful', 'faculty', 'at', 'his', 'unusual', 'school', ',', 'Harry', 'finds', 'himself', 'drawn', 'deep', 'inside', 'a', 'mystical', 'world', 'he', 'never', 'knew', 'existed', 'and', 'closer', 'to', 'his', 'own', 'noble', 'destiny', '.']","Harry Potter has no idea how famous he is. That's because he's being raised by his miserable aunt and uncle who are terrified Harry will learn that he's really a wizard, just as his parents were. But everything changes when Harry is summoned to attend an infamous school for wizards."
Harry Potter and the Prisoner of Azkaban,4.66,11.328207708575908,"Harry Potter, along with his best friends, Ron and Hermione, is about to start his third year at Hogwarts School of Witchcraft and Wizardry. Harry can't wait to get back to school after the summer holidays. (Who wouldn't if they lived with the horrible Dursleys?) But when Harry gets to Hogwarts, the atmosphere is tense. There's an escaped mass murderer on the loose, and the sinister prison guards of Azkaban have been called in to guard the school...","['Harry', 'Potter', ',', 'along', 'with', 'his', 'best', 'friends', ',', 'Ron', 'and', 'Hermione', ',', 'is', 'about', 'to', 'start', 'his', 'third', 'year', 'at', 'Hogwarts', 'School', 'of', 'Witchcraft', 'and', 'Wizardry', '.', 'Harry', 'ca', ""n't"", 'wait', 'to', 'get', 'back', 'to', 'school', 'after', 'the', 'summer', 'holidays', '.', '(', 'Who', 'would', ""n't"", 'if', 'they', 'lived', 'with', 'the', 'horrible', 'Dursleys', '?', ')', 'But', 'when', 'Harry', 'gets', 'to', 'Hogwarts', ',', 'the', 'atmosphere', 'is', 'tense', '.', 'There', ""'s"", 'an', 'escaped', 'mass', 'murderer', 'on', 'the', 'loose', ',', 'and', 'the', 'sinister', 'prison', 'guards', 'of', 'Azkaban', 'have', 'been', 'called', 'in', 'to', 'guard', 'the', 'school', '...']","Harry Potter is about to start his third year at Hogwarts School of Witchcraft and Wizardry. There's an escaped mass murderer on the loose, and the sinister prison guards of Azkaban have been called in."
Harry Potter and the Goblet of Fire,4.48,9.890055194805194,"It is the summer holidays and soon Harry Potter will be starting his fourth year at Hogwarts School of Witchcraft and Wizardry. Harry is counting the days: there are new spells to be learnt, more Quidditch to be played, and Hogwarts castle to continue exploring. But Harry needs to be careful - there are unexpected dangers lurking...","['It', 'is', 'the', 'summer', 'holidays', 'and', 'soon', 'Harry', 'Potter', 'will', 'be', 'starting', 'his', 'fourth', 'year', 'at', 'Hogwarts', 'School', 'of', 'Witchcraft', 'and', 'Wizardry', '.', 'Harry', 'is', 'counting', 'the', 'days', ':', 'there', 'are', 'new', 'spells', 'to', 'be', 'learnt', ',', 'more', 'Quidditch', 'to', 'be', 'played', ',', 'and', 'Hogwarts', 'castle', 'to', 'continue', 'exploring', '.', 'But', 'Harry', 'needs', 'to', 'be', 'careful', '-', 'there', 'are', 'unexpected', 'dangers', 'lurking', '...']","Harry Potter will be starting his fourth year at Hogwarts School of Witchcraft and Wizardry. There are new spells to be learnt, more Quidditch to be played and Hogwarts castle to explore. But Harry needs to be careful - there are unexpected dangers lurking."
The Hitchhiker's Guide to the Galaxy,4.02,7.138105331724257,"Seconds before the Earth is demolished to make way for a galactic freeway, Arthur Dent is plucked off the planet by his friend Ford Prefect, a researcher for the revised edition of The Hitchhiker's Guide to the Galaxy who, for the last fifteen years, has been posing as an out-of-work actor.Together this dynamic pair begin a journey through space aided by quotes from The Hitchhiker's Guide (""A towel is about the most massively useful thing an interstellar hitchhiker can have"") and a galaxy-full of fellow travelers: Zaphod Beeblebrox--the two-headed, three-armed ex-hippie and totally out-to-lunch president of the galaxy; Trillian, Zaphod's girlfriend (formally Tricia McMillan), whom Arthur tried to pick up at a cocktail party once upon a time zone; Marvin, a paranoid, brilliant, and chronically depressed robot; Veet Voojagig, a former graduate student who is obsessed with the disappearance of all the ballpoint pens he bought over the years.Where are these pens? Why are we born? Why do we die? Why do we spend so much time between wearing digital watches? For all the answers stick your thumb to the stars. And don't forget to bring a towel!","['Seconds', 'before', 'the', 'Earth', 'is', 'demolished', 'to', 'make', 'way', 'for', 'a', 'galactic', 'freeway', ',', 'Arthur', 'Dent', 'is', 'plucked', 'off', 'the', 'planet', 'by', 'his', 'friend', 'Ford', 'Prefect', ',', 'a', 'researcher', 'for', 'the', 'revised', 'edition', 'of', 'The', 'Hitchhiker', ""'s"", 'Guide', 'to', 'the', 'Galaxy', 'who', ',', 'for', 'the', 'last', 'fifteen', 'years', ',', 'has', 'been', 'posing', 'as', 'an', 'out-of-work', 'actor.Together', 'this', 'dynamic', 'pair', 'begin', 'a', 'journey', 'through', 'space', 'aided', 'by', 'quotes', 'from', 'The', 'Hitchhiker', ""'s"", 'Guide', '(', '``', 'A', 'towel', 'is', 'about', 'the', 'most', 'massively', 'useful', 'thing', 'an', 'interstellar', 'hitchhiker', 'can', 'have', ""''"", ')', 'and', 'a', 'galaxy-full', 'of', 'fellow', 'travelers', ':', 'Zaphod', 'Beeblebrox', '--', 'the', 'two-headed', ',', 'three-armed', 'ex-hippie', 'and', 'totally', 'out-to-lunch', 'president', 'of', 'the', 'galaxy', ';', 'Trillian', ',', 'Zaphod', ""'s"", 'girlfriend', '(', 'formally', 'Tricia', 'McMillan', ')', ',', 'whom', 'Arthur', 'tried', 'to', 'pick', 'up', 'at', 'a', 'cocktail', 'party', 'once', 'upon', 'a', 'time', 'zone', ';', 'Marvin', ',', 'a', 'paranoid', ',', 'brilliant', ',', 'and', 'chronically', 'depressed', 'robot', ';', 'Veet', 'Voojagig', ',', 'a', 'former', 'graduate', 'student', 'who', 'is', 'obsessed', 'with', 'the', 'disappearance', 'of', 'all', 'the', 'ballpoint', 'pens', 'he', 'bought', 'over', 'the', 'years.Where', 'are', 'these', 'pens', '?', 'Why', 'are', 'we', 'born', '?', 'Why', 'do', 'we', 'die', '?', 'Why', 'do', 'we', 'spend', 'so', 'much', 'time', 'between', 'wearing', 'digital', 'watches', '?', 'For', 'all', 'the', 'answers', 'stick', 'your', 'thumb', 'to', 'the', 'stars', '.', 'And', 'do', ""n't"", 'forget', 'to', 'bring', 'a', 'towel', '!']","Arthur Dent is plucked off the planet by his friend Ford Prefect, a researcher for the revised edition of The Hitchhiker's Guide to the Galaxy. For all the answers stick your thumb to the stars. And don't forget to bring a towel!"
Snow Crash,3.38,5.902783117250841,"In reality, Hiro Protagonist delivers pizza for Uncle Enzo's CosoNostra Pizza Inc., but in the Metaverse he's a warrior prince. Plunging headlong into the enigma of a new computer virus that's striking down hackers everywhere, he races along the neon-lit streets on a search-and-destroy mission for the shadowy virtual villain threatening to bring about infocalypse. Snow Crash is a mind-altering romp through a future America so bizarre, so outrageous… you'll recognize it immediately.","['In', 'reality', ',', 'Hiro', 'Protagonist', 'delivers', 'pizza', 'for', 'Uncle', 'Enzo', ""'s"", 'CosoNostra', 'Pizza', 'Inc.', ',', 'but', 'in', 'the', 'Metaverse', 'he', ""'s"", 'a', 'warrior', 'prince', '.', 'Plunging', 'headlong', 'into', 'the', 'enigma', 'of', 'a', 'new', 'computer', 'virus', 'that', ""'s"", 'striking', 'down', 'hackers', 'everywhere', ',', 'he', 'races', 'along', 'the', 'neon-lit', 'streets', 'on', 'a', 'search-and-destroy', 'mission', 'for', 'the', 'shadowy', 'virtual', 'villain', 'threatening', 'to', 'bring', 'about', 'infocalypse', '.', 'Snow', 'Crash', 'is', 'a', 'mind-altering', 'romp', 'through', 'a', 'future', 'America', 'so', 'bizarre', ',', 'so', 'outrageous…', 'you', ""'ll"", 'recognize', 'it', 'immediately', '.']","In reality, Hiro Protagonist delivers pizza for Uncle Enzo's CosoNostra Pizza Inc., but in the Metaverse he's a warrior prince. Snow Crash is a mind-altering romp through a future America so bizarre, so outrageous… you'll recognize it immediately."
The Alchemist,2.88,6.552529131927424,"Paulo Coelho's masterpiece tells the mystical story of Santiago, an Andalusian shepherd boy who yearns to travel in search of a worldly treasure. His quest will lead him to riches far different, and far more satisfying, listening to our hearts, of recognizing opportunity and learning to read the omens strewn along life's path, and, most importantly, to follow our dreams.","['Paulo', 'Coelho', ""'s"", 'masterpiece', 'tells', 'the', 'mystical', 'story', 'of', 'Santiago', ',', 'an', 'Andalusian', 'shepherd', 'boy', 'who', 'yearns', 'to', 'travel', 'in', 'search', 'of', 'a', 'worldly', 'treasure', '.', 'His', 'quest', 'will', 'lead', 'him', 'to', 'riches', 'far', 'different', ',', 'and', 'far', 'more', 'satisfying', ',', 'listening', 'to', 'our', 'hearts', ',', 'of', 'recognizing', 'opportunity', 'and', 'learning', 'to', 'read', 'the', 'omens', 'strewn', 'along', 'life', ""'s"", 'path', ',', 'and', ',', 'most', 'importantly', ',', 'to', 'follow', 'our', 'dreams', '.']","Paulo Coelho's masterpiece tells the mystical story of Santiago, an Andalusian shepherd boy who yearns to travel. His quest will lead him to riches far different, and far more satisfying, listening to our hearts."
Of Mice and Men,3.8,6.362328582548986,"“I got you to look after me, and you got me to look after you, and that's why.” They are an unlikely pair: George is ""small and quick and dark of face""; Lennie, a man of tremendous size, has the mind of a young child. Yet they have formed a ""family,"" clinging together in the face of loneliness and alienation. Laborers in California's dusty vegetable fields, they hustle work when they can, living a hand-to-mouth existence. But George and Lennie have a plan: to own an acre of land and a shack they can call their own.While the powerlessness of the laboring class is a recurring theme in Steinbeck's work of the late 1930s, he narrowed his focus when composing Of Mice and Men, creating an intimate portrait of two men facing a world marked by petty tyranny, misunderstanding, jealousy, and callousness. But though the scope is narrow, the theme is universal: a friendship and a shared dream that makes an individual's existence meaningful.A unique perspective on life's hardships, this story has achieved the status of timeless classic due to its remarkable success as a novel, a Broadway play, and three acclaimed films.","['“', 'I', 'got', 'you', 'to', 'look', 'after', 'me', ',', 'and', 'you', 'got', 'me', 'to', 'look', 'after', 'you', ',', 'and', 'that', ""'s"", 'why.', '”', 'They', 'are', 'an', 'unlikely', 'pair', ':', 'George', 'is', '``', 'small', 'and', 'quick', 'and', 'dark', 'of', 'face', ""''"", ';', 'Lennie', ',', 'a', 'man', 'of', 'tremendous', 'size', ',', 'has', 'the', 'mind', 'of', 'a', 'young', 'child', '.', 'Yet', 'they', 'have', 'formed', 'a', '``', 'family', ',', ""''"", 'clinging', 'together', 'in', 'the', 'face', 'of', 'loneliness', 'and', 'alienation', '.', 'Laborers', 'in', 'California', ""'s"", 'dusty', 'vegetable', 'fields', ',', 'they', 'hustle', 'work', 'when', 'they', 'can', ',', 'living', 'a', 'hand-to-mouth', 'existence', '.', 'But', 'George', 'and', 'Lennie', 'have', 'a', 'plan', ':', 'to', 'own', 'an', 'acre', 'of', 'land', 'and', 'a', 'shack', 'they', 'can', 'call', 'their', 'own.While', 'the', 'powerlessness', 'of', 'the', 'laboring', 'class', 'is', 'a', 'recurring', 'theme', 'in', 'Steinbeck', ""'s"", 'work', 'of', 'the', 'late', '1930s', ',', 'he', 'narrowed', 'his', 'focus', 'when', 'composing', 'Of', 'Mice', 'and', 'Men', ',', 'creating', 'an', 'intimate', 'portrait', 'of', 'two', 'men', 'facing', 'a', 'world', 'marked', 'by', 'petty', 'tyranny', ',', 'misunderstanding', ',', 'jealousy', ',', 'and', 'callousness', '.', 'But', 'though', 'the', 'scope', 'is', 'narrow', ',', 'the', 'theme', 'is', 'universal', ':', 'a', 'friendship', 'and', 'a', 'shared', 'dream', 'that', 'makes', 'an', 'individual', ""'s"", 'existence', 'meaningful.A', 'unique', 'perspective', 'on', 'life', ""'s"", 'hardships', ',', 'this', 'story', 'has', 'achieved', 'the', 'status', 'of', 'timeless', 'classic', 'due', 'to', 'its', 'remarkable', 'success', 'as', 'a', 'novel', ',', 'a', 'Broadway', 'play', ',', 'and', 'three', 'acclaimed', 'films', '.']","Of Mice and Men is one of the most famous novels of the 20th century. The story is about a pair of laboring men who form a family. The novel has been made into a play, a film, and a Broadway play."
Angels & Demons,3.52,6.735012866762866,"World-renowned Harvard symbologist Robert Langdon is summoned to a Swiss research facility to analyze a cryptic symbol seared into the chest of a murdered physicist. What he discovers is unimaginable: a deadly vendetta against the Catholic Church by a centuries-old underground organization -- the Illuminati. In a desperate race to save the Vatican from a powerful time bomb, Langdon joins forces in Rome with the beautiful and mysterious scientist Vittoria Vetra. Together they embark on a frantic hunt through sealed crypts, dangerous catacombs, and deserted cathedrals, and into the depths of the most secretive vault on earth...the long-forgotten Illuminati lair.(back cover)","['World-renowned', 'Harvard', 'symbologist', 'Robert', 'Langdon', 'is', 'summoned', 'to', 'a', 'Swiss', 'research', 'facility', 'to', 'analyze', 'a', 'cryptic', 'symbol', 'seared', 'into', 'the', 'chest', 'of', 'a', 'murdered', 'physicist', '.', 'What', 'he', 'discovers', 'is', 'unimaginable', ':', 'a', 'deadly', 'vendetta', 'against', 'the', 'Catholic', 'Church', 'by', 'a', 'centuries-old', 'underground', 'organization', '--', 'the', 'Illuminati', '.', 'In', 'a', 'desperate', 'race', 'to', 'save', 'the', 'Vatican', 'from', 'a', 'powerful', 'time', 'bomb', ',', 'Langdon', 'joins', 'forces', 'in', 'Rome', 'with', 'the', 'beautiful', 'and', 'mysterious', 'scientist', 'Vittoria', 'Vetra', '.', 'Together', 'they', 'embark', 'on', 'a', 'frantic', 'hunt', 'through', 'sealed', 'crypts', ',', 'dangerous', 'catacombs', ',', 'and', 'deserted', 'cathedrals', ',', 'and', 'into', 'the', 'depths', 'of', 'the', 'most', 'secretive', 'vault', 'on', 'earth', '...', 'the', 'long-forgotten', 'Illuminati', 'lair', '.', '(', 'back', 'cover', ')']","Harvard symbologist Robert Langdon is summoned to a Swiss research facility to analyze a cryptic symbol seared into the chest of a murdered physicist. What he discovers is a deadly vendetta against the Catholic Church by a centuries-old underground organization -- the Illuminati. In a desperate race to save the Vatican from a powerful time bomb, Langdon joins forces in Rome with the beautiful and mysterious scientist Vittoria Vetra."
